date,rank,track_name,artist_names,peak_rank,previous_rank,days_on_chart,streams,track_id,artist_id
2023-09-13,81,CAKE,ITZY,34,82,45,"15,459",121rSDpNoXL96bKOEdTGpW,2KC9Qb60EaY0kW4eH68vr3
2023-09-13,82,當你,Cyndi Wang,27,87,635,"15,232",4xNDbq22jC2Vdf6QV2uArL,3AroL2oDPiAnMpTmIQv3KP
2023-09-13,83,小情歌,sodagreen,38,77,721,"15,225",4FhJ7YSRxATHnaRg4nGs6t,3WYT2b8pOLsLsqSaoWYr7U
2023-09-13,84,"24/7, 365",elijah woods,84,93,13,"15,201",05QUYSOApWLr8oBbpONl7p,3IR6DvP0x2a6oUSist9UMu
2023-09-13,85,讓我留在你身邊,Eason Chan,5,86,342,"15,179",07MNtfddtgCo6VrUm3O9dw,2QcZxAgcs2I1q7CtCkl6MI
2023-09-13,86,I'm Alive,"W.M.L, Vicky Chen",11,90,418,"15,137",0FfNFvy5KRRyB2snvK39zL,5PeVQEj4Yr0TB9CuG83dPB
2023-09-13,87,就忘了吧,1K,15,94,225,"14,981",0DHk1BgLDEddRvZ4wy5s6a,3jA4yAKBVxi0j63Fglm1pU
2023-09-13,88,沒有關係,Vicky Chen,28,89,63,"14,956",79TMN9XqG2uwuhgVUw7siC,01u3qI3xMGFvktXyRSMGRZ
2023-09-13,89,NIGHT DANCER,imase,53,103,207,"14,910",3gmn76fCtpDazGMnN0QMHX,4TaSvnT5o4REFwhqfrmK27
2023-09-13,90,听说你,"于冬然, 李艺皓",53,88,60,"14,877",4PKU5mPzC5lEDOLvVJ04As,7mJv2vnmyEbD8eyI7tMLKs
2023-09-13,91,閣愛妳一擺,EggPlantEgg,2,83,643,"14,834",07plVccQ0N6FTTTonk3c2M,6g641431O1Xkl7HAs2yFEg
2023-09-13,92,Cool With You,NewJeans,3,78,55,"14,780",02wk5BttM0QL38ERjLPQJB,6HvZYsbFfjnjFrWF950C9d
2023-09-13,93,Shut Down,BLACKPINK,1,92,363,"14,488",7gRFDGEzF9UkBV233yv2dc,41MozSoPIsD1dJM0CLPjZF
2023-09-13,94,Anti-Hero,Taylor Swift,1,99,328,"14,468",0V3wPSX9ygBnCm8psDIegu,06HL4z0CvFAxyc27GXpf02
2023-09-13,95,嚣张,en,8,85,154,"14,440",1vfUASvUGt3gxQ1x3T3u1C,7z7tLLiBfmH0kZ2lNVs8LW
2023-09-13,96,Drowning,"高爾宣 OSN, 李浩瑋 Howard Lee",17,84,492,"14,410",29l0WglBnIAye0K8Ym4gtG,4TcOznbEZBqev21LzAH4KE
2023-09-13,97,說好不哭,"Jay Chou, Ashin Chen",1,96,1459,"14,211",77BQceOpfvUBXgokOFHYMm,2elBjNSdBE2Y3f0j1mjrql
2023-09-13,98,THE GIRLS (BLACKPINK THE GAME OST),BLACKPINK,51,107,20,"14,208",1mFpMoeZfkIqtqW2AfQ8ba,41MozSoPIsD1dJM0CLPjZF
2023-09-13,99,你的答案,阿冗,15,95,1269,"14,177",4QWSICaQ6LGmcS8qX9lNVh,3dTgjg7lzUGiD3NwcGCK1n
2023-09-13,100,Love Lee,AKMU,100,105,10,"14,142",1qosh64U6CR5ki1g1Rf2dZ,6OwKE9Ez6ALxpTaKcT5ayv
2023-09-13,101,vampire,Olivia Rodrigo,27,102,76,"14,141",1kuGVB7EU95pJObxwvfwKS,1McMsnEElThX1knmY4oliG
2023-09-13,102,I Love My Body,HWASA,90,134,7,"13,968",0pHylQR53epYtRcVIhUSCh,7bmYpVgQub656uNTu6qGNQ
2023-09-13,103,我們的愛,F.I.R.,90,116,15,"13,938",0Q4YuuiCuxIIKUw2fb1cmV,5oqLnVZzJJXE3YnzzZfRKu
2023-09-13,104,圍牆,Nicky Lee,60,100,22,"13,723",7mFemsen8hkEoC5a4qeD6C,6DuHQk8gJbyVlhajer8IuF
2023-09-13,105,愛情你比我想的閣較偉大 (《當男人戀愛時》電影主題曲),EggPlantEgg,1,98,913,"13,636",4fJlSLYLiu5trFCMZdSQDC,6g641431O1Xkl7HAs2yFEg
2023-09-13,106,Blank Space,Taylor Swift,88,108,112,"13,474",1u8c2t2Cy7UBoG4ArRcF5g,06HL4z0CvFAxyc27GXpf02
2023-09-13,107,0321,space x,11,106,427,"13,449",1pbb71pOKB5iqfkju4NmPj,5MfPm7ai5Y5vRePZ4MC9XL
2023-09-13,108,BITE BACK,Cyndi Wang,91,91,3,"13,392",6MgqHZFAVhqe16zCX8VVsl,3AroL2oDPiAnMpTmIQv3KP
2023-09-13,109,孤勇者 - 《英雄聯盟:雙城之戰》動畫劇集中文主題曲,Eason Chan,4,101,539,"13,302",6akVETVeqqPVvuBS5e0EB1,2QcZxAgcs2I1q7CtCkl6MI
2023-09-13,110,能不能和我留在台北(陪我幾天),icyball,29,110,126,"13,221",63N9fNPJ5kkbvtntCwgIbm,4GsjZQZJ3viOq4Uw8wZDbW
2023-09-13,111,Nonsense,Sabrina Carpenter,65,139,245,"13,191",6dgUya35uo964z7GZXM07g,74KM79TiuVKeVCqs8QtB0B
2023-09-13,112,Kill Bill,SZA,29,111,274,"13,177",1Qrg8KqiBpW07V7PNxwwwL,7tYKF4w9nC0nq9CsPZTHyP
2023-09-13,113,Flowers,Miley Cyrus,7,114,244,"13,148",4DHcnVTT87F0zZhRPYmZ3B,5YGY8feqx7naU7z4HrwZM6
2023-09-13,114,最後一次,高爾宣 OSN,8,115,6,"13,142",4fw4NwYVD8nLWLtKtlN8df,4TcOznbEZBqev21LzAH4KE
2023-09-13,115,LOVE DIVE,IVE,5,109,527,"13,100",0Q5VnK2DYzRyfqQRJuUtvi,6RHTUrRF63xao58xh9FXYJ
2023-09-13,116,我們到底算什麼,徐暐翔,58,97,52,"13,044",3SSUUro7FoNAWQEa01xtZY,2xZkWvVTxC65o3dqETdfPm
2023-09-13,117,年少有為,Ronghao Li,1,120,1883,"13,003",6XY80Ofqd8j0SGiEdRLwCp,0rTP0x4vRFSDbhtqcCqc8K
2023-09-13,118,I Ain't Worried,OneRepublic,3,112,474,"12,965",4fYte8ZvTK14NEhAOZocBi,5Pwc4xIPtQLFEnJriah9YJ
2023-09-13,119,怎麼了,Eric Chou,2,118,1708,"12,949",5cU1O9P0EDA0rPkPDykhIm,5fEQLwq1BWWQNR8GzhOIvi
2023-09-13,120,I DO,(G)I-DLE,15,117,62,"12,543",6SePnvTZkIXZznc8Ftc6vM,2AfmfGFbe0A0WsTYm0SDTx
2023-09-13,121,燈,Soushi Sakiyama,78,124,46,"12,436",7jtXjZ3JViUo9M3ogYAapO,1IEretLePzJKj8R6KCEaBA
2023-09-13,122,七里香,Jay Chou,58,113,274,"12,355",3kwqNLXvsjSrIXbVsRBj8q,2elBjNSdBE2Y3f0j1mjrql
2023-09-13,123,After LIKE,IVE,2,121,388,"12,345",2gYj9lubBorOPIVWsTXugG,6RHTUrRF63xao58xh9FXYJ
2023-09-13,124,不如我們,Andrew Tan,124,152,2,"12,283",628jSEIhSEkXJXRo5gRpOG,5AhK8gDgOZT7lE1UlbyF1c
2023-09-13,125,后继者,Ren Ran,77,137,304,"12,210",5vqYJFxGOZ2nfdR1YpwI74,6f4srX54JFrLNK4aTJe2Sc
2023-09-13,126,静悄悄,大泫,103,132,104,"12,206",751bgbxEOI9bjbTO88EKIb,3mpbX209GwoScDJLVLRHk9
